               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/soccer-ball_mAP,    metrics/goal_mAP,metrics/soccer-ball_mAP_50, metrics/goal_mAP_50
                   0,            0.067391,            0.017786,            0.060897,                   0,                   0,                   0,                   0,                   0,           0.0004724,                   0,              0.0829,              0.0019,              0.0019,                   0,                   0,                   0,                   0
                   1,            0.057187,            0.023274,            0.031818,                   0,                   0,                   0,                   0,                   0,          0.00037376,                   0,            0.063613,            0.002613,            0.002613,                   0,                   0,                   0,                   0
                   2,            0.052969,            0.024542,            0.018899,                   0,                   0,                   0,                   0,                   0,            0.000354,                   0,            0.043006,            0.002006,            0.002006,                   0,                   0,                   0,                   0
