               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/soccer-ball_mAP,    metrics/goal_mAP,metrics/soccer-ball_mAP_50, metrics/goal_mAP_50
                  34,            0.022757,           0.0047067,          0.00087754,                   0,                   0,                   0,                   0,                   0,          0.00042407,                   0,            0.003466,            0.003466,            0.003466,                   0,                   0,                   0,                   0
                  35,            0.022826,           0.0036376,          0.00068927,                   0,                   0,                   0,                   0,                   0,          0.00045601,                   0,            0.003268,            0.003268,            0.003268,                   0,                   0,                   0,                   0
                  36,            0.021321,           0.0034466,          0.00076835,                   0,                   0,                   0,                   0,                   0,          0.00044661,                   0,             0.00307,             0.00307,             0.00307,                   0,                   0,                   0,                   0
                  37,            0.022851,           0.0037423,          0.00080976,                   0,                   0,                   0,                   0,                   0,          0.00045179,                   0,            0.002872,            0.002872,            0.002872,                   0,                   0,                   0,                   0
                  38,            0.019951,           0.0037965,          0.00071122,                   0,                   0,                   0,                   0,                   0,           0.0003931,                   0,            0.002674,            0.002674,            0.002674,                   0,                   0,                   0,                   0
                  39,            0.021859,           0.0040861,           0.0007038,                   0,                   0,                   0,                   0,                   0,          0.00039481,                   0,            0.002476,            0.002476,            0.002476,                   0,                   0,                   0,                   0
                  40,            0.020166,           0.0048212,          0.00067226,                   0,                   0,                   0,                   0,                   0,          0.00041723,                   0,            0.002278,            0.002278,            0.002278,                   0,                   0,                   0,                   0
                  41,            0.019663,           0.0043623,          0.00067532,                   0,                   0,                   0,                   0,                   0,          0.00041155,                   0,             0.00208,             0.00208,             0.00208,                   0,                   0,                   0,                   0
                  42,            0.019756,           0.0037776,          0.00057216,                   0,                   0,                   0,                   0,                   0,          0.00041544,                   0,            0.001882,            0.001882,            0.001882,                   0,                   0,                   0,                   0
                  43,            0.019436,           0.0045877,          0.00066669,                   0,                   0,                   0,                   0,                   0,          0.00039614,                   0,            0.001684,            0.001684,            0.001684,                   0,                   0,                   0,                   0
                  44,            0.017911,           0.0041842,          0.00057745,                   0,                   0,                   0,                   0,                   0,          0.00040686,                   0,            0.001486,            0.001486,            0.001486,                   0,                   0,                   0,                   0
                  45,            0.017538,           0.0041435,          0.00057179,                   0,                   0,                   0,                   0,                   0,          0.00040661,                   0,            0.001288,            0.001288,            0.001288,                   0,                   0,                   0,                   0
                  46,            0.014633,           0.0038453,          0.00055656,                   0,                   0,                   0,                   0,                   0,          0.00040999,                   0,             0.00109,             0.00109,             0.00109,                   0,                   0,                   0,                   0
                  47,            0.016545,           0.0036847,          0.00057375,                   0,                   0,                   0,                   0,                   0,          0.00040597,                   0,            0.000892,            0.000892,            0.000892,                   0,                   0,                   0,                   0
                  48,            0.017184,           0.0042038,          0.00056072,                   0,                   0,                   0,                   0,                   0,          0.00039551,                   0,            0.000694,            0.000694,            0.000694,                   0,                   0,                   0,                   0
                  49,            0.013916,           0.0040928,          0.00049528,                   0,                   0,                   0,                   0,                   0,          0.00039576,                   0,            0.000496,            0.000496,            0.000496,                   0,                   0,                   0,                   0
