               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/soccer-ball_mAP,    metrics/goal_mAP,metrics/soccer-ball_mAP_50, metrics/goal_mAP_50
                   0,            0.025781,           0.0093784,          0.00049424,             0.80263,             0.73077,              0.7505,             0.53018,            0.013195,           0.0017315,          0.00016431,              0.0748,              0.0028,              0.0028,             0.53018,             0.53018,              0.7505,              0.7505
                   1,            0.025448,            0.008785,          0.00048649,             0.85485,             0.76923,             0.78791,             0.52382,            0.013027,           0.0016545,          0.00018735,            0.048587,           0.0055871,           0.0055871,             0.52382,             0.52382,             0.78791,             0.78791
                   2,            0.028079,           0.0088894,          0.00064048,             0.88225,             0.76923,             0.83642,             0.57013,            0.011867,           0.0016378,          0.00036374,            0.022259,           0.0082594,           0.0082594,             0.57013,             0.57013,             0.83642,             0.83642
                   3,            0.029338,           0.0096909,           0.0010843,             0.64029,             0.84615,             0.76907,             0.39537,              0.0148,           0.0015074,          0.00037303,            0.009406,            0.009406,            0.009406,             0.39537,             0.39537,             0.76907,             0.76907
                   4,             0.03113,           0.0092061,           0.0012207,             0.77529,             0.80769,             0.75283,             0.50092,            0.013093,           0.0014729,          0.00046544,            0.009406,            0.009406,            0.009406,             0.50092,             0.50092,             0.75283,             0.75283
                   5,            0.030008,           0.0086391,           0.0011851,             0.78099,             0.76923,             0.78123,             0.47533,            0.014187,            0.001451,          0.00036837,            0.009208,            0.009208,            0.009208,             0.47533,             0.47533,             0.78123,             0.78123
                   6,            0.030253,           0.0089331,           0.0010733,             0.83912,             0.84615,             0.82111,             0.56798,            0.013453,           0.0015724,           0.0003978,             0.00901,             0.00901,             0.00901,             0.56798,             0.56798,             0.82111,             0.82111
                   7,            0.029831,           0.0090844,            0.001083,              0.9354,             0.69231,             0.81087,             0.53271,            0.013088,           0.0015815,          0.00034957,            0.008812,            0.008812,            0.008812,             0.53271,             0.53271,             0.81087,             0.81087
                   8,             0.02813,           0.0092191,          0.00093637,             0.87434,             0.80302,             0.81526,             0.59043,            0.013154,           0.0015186,          0.00039211,            0.008614,            0.008614,            0.008614,             0.59043,             0.59043,             0.81526,             0.81526
                   9,            0.027947,           0.0088333,            0.001047,              0.8733,             0.79563,             0.81067,             0.57842,            0.012096,           0.0015505,          0.00037153,            0.008416,            0.008416,            0.008416,             0.57842,             0.57842,             0.81067,             0.81067
                  10,            0.027168,           0.0081081,          0.00093338,             0.78614,             0.70732,               0.815,             0.54476,             0.01308,           0.0016674,          0.00038868,            0.008218,            0.008218,            0.008218,             0.54476,             0.54476,               0.815,               0.815
                  11,            0.026651,            0.008762,          0.00089299,             0.76575,             0.88462,             0.84176,             0.59853,            0.012615,           0.0014589,          0.00032902,             0.00802,             0.00802,             0.00802,             0.59853,             0.59853,             0.84176,             0.84176
                  12,            0.028043,           0.0085325,          0.00079412,             0.88286,             0.86998,              0.8647,             0.61222,            0.011261,           0.0013843,          0.00030764,            0.007822,            0.007822,            0.007822,             0.61222,             0.61222,              0.8647,              0.8647
                  13,            0.025535,           0.0080409,          0.00072634,             0.95634,             0.84269,             0.86252,             0.63676,            0.012068,           0.0013776,          0.00036569,            0.007624,            0.007624,            0.007624,             0.63676,             0.63676,             0.86252,             0.86252
                  14,            0.024839,           0.0084803,          0.00074967,             0.94382,             0.80769,             0.85886,             0.60128,            0.012144,           0.0015162,          0.00026601,            0.007426,            0.007426,            0.007426,             0.60128,             0.60128,             0.85886,             0.85886
                  15,             0.02473,           0.0077679,           0.0008049,             0.82087,             0.88135,             0.85317,              0.6676,            0.011293,           0.0014938,          0.00023776,            0.007228,            0.007228,            0.007228,              0.6676,              0.6676,             0.85317,             0.85317
                  16,            0.023748,           0.0077365,          0.00062502,             0.93682,             0.84615,             0.86368,             0.62283,            0.010829,           0.0015896,          0.00026756,             0.00703,             0.00703,             0.00703,             0.62283,             0.62283,             0.86368,             0.86368
                  17,            0.023947,           0.0075232,          0.00083202,             0.88895,             0.88462,             0.87855,             0.62367,            0.011869,            0.001461,          0.00031059,            0.006832,            0.006832,            0.006832,             0.62367,             0.62367,             0.87855,             0.87855
                  18,            0.022949,           0.0070912,          0.00071188,              0.9121,             0.84615,             0.88276,             0.62117,              0.0113,           0.0012687,          0.00024097,            0.006634,            0.006634,            0.006634,             0.62117,             0.62117,             0.88276,             0.88276
                  19,            0.024116,           0.0073519,           0.0006683,             0.89636,             0.80769,             0.85673,             0.63815,           0.0095348,            0.001489,          0.00026509,            0.006436,            0.006436,            0.006436,             0.63815,             0.63815,             0.85673,             0.85673
                  20,            0.022276,           0.0075117,          0.00063892,             0.92057,             0.88462,             0.88854,              0.6165,            0.010942,           0.0012965,          0.00024898,            0.006238,            0.006238,            0.006238,              0.6165,              0.6165,             0.88854,             0.88854
                  21,            0.022146,           0.0073614,          0.00060954,             0.95396,             0.92308,             0.89016,             0.62993,             0.01052,           0.0013441,          0.00028272,             0.00604,             0.00604,             0.00604,             0.62993,             0.62993,             0.89016,             0.89016
                  22,            0.021764,           0.0068891,          0.00051957,             0.92071,             0.92308,             0.89197,             0.64674,           0.0097624,           0.0012747,          0.00025133,            0.005842,            0.005842,            0.005842,             0.64674,             0.64674,             0.89197,             0.89197
                  23,            0.021762,           0.0067167,          0.00069341,             0.95647,             0.92308,             0.89034,             0.66455,            0.010256,           0.0013348,          0.00021876,            0.005644,            0.005644,            0.005644,             0.66455,             0.66455,             0.89034,             0.89034
                  24,            0.020759,           0.0068298,          0.00051594,             0.95997,             0.92236,             0.88895,             0.69003,            0.010875,            0.001272,          0.00021638,            0.005446,            0.005446,            0.005446,             0.69003,             0.69003,             0.88895,             0.88895
                  25,             0.02115,           0.0062827,          0.00051258,             0.88031,             0.92308,             0.88101,             0.67078,           0.0095025,           0.0012326,           0.0002104,            0.005248,            0.005248,            0.005248,             0.67078,             0.67078,             0.88101,             0.88101
                  26,            0.020851,           0.0068003,          0.00050741,             0.91894,             0.92308,             0.89837,             0.69192,           0.0089358,           0.0011802,          0.00022311,             0.00505,             0.00505,             0.00505,             0.69192,             0.69192,             0.89837,             0.89837
                  27,            0.020255,           0.0067375,          0.00052405,             0.92209,             0.92308,             0.89894,             0.68042,           0.0091455,           0.0011669,          0.00023756,            0.004852,            0.004852,            0.004852,             0.68042,             0.68042,             0.89894,             0.89894
                  28,            0.020298,           0.0068055,          0.00067716,             0.95995,             0.92199,             0.90216,             0.66569,           0.0086445,           0.0012189,          0.00022544,            0.004654,            0.004654,            0.004654,             0.66569,             0.66569,             0.90216,             0.90216
                  29,            0.018853,           0.0064023,          0.00044362,             0.95795,             0.92308,             0.90701,              0.7026,            0.008783,           0.0012792,           0.0001988,            0.004456,            0.004456,            0.004456,              0.7026,              0.7026,             0.90701,             0.90701
                  30,            0.018935,           0.0067212,          0.00040366,             0.95428,             0.88462,             0.91018,             0.72023,             0.00956,           0.0013392,          0.00016576,            0.004258,            0.004258,            0.004258,             0.72023,             0.72023,             0.91018,             0.91018
                  31,             0.01946,           0.0067275,           0.0003796,             0.92279,             0.91954,             0.92471,             0.74254,            0.008428,            0.001318,          0.00017171,             0.00406,             0.00406,             0.00406,             0.74254,             0.74254,             0.92471,             0.92471
                  32,            0.019049,           0.0067951,          0.00043925,             0.95703,             0.92308,             0.90336,             0.74135,           0.0084113,             0.00134,          0.00017442,            0.003862,            0.003862,            0.003862,             0.74135,             0.74135,             0.90336,             0.90336
                  33,            0.017357,           0.0060922,          0.00036611,             0.95445,             0.92308,             0.92252,             0.72811,           0.0094264,           0.0012569,          0.00015561,            0.003664,            0.003664,            0.003664,             0.72811,             0.72811,             0.92252,             0.92252
                  34,            0.017073,           0.0060337,          0.00032406,             0.95689,             0.92308,             0.90865,             0.70293,           0.0087524,           0.0011734,          0.00014284,            0.003466,            0.003466,            0.003466,             0.70293,             0.70293,             0.90865,             0.90865
                  35,            0.017217,           0.0059234,          0.00030161,             0.95713,             0.92308,             0.90698,             0.74777,           0.0077648,           0.0010636,           0.0001422,            0.003268,            0.003268,            0.003268,             0.74777,             0.74777,             0.90698,             0.90698
                  36,            0.016592,           0.0057881,           0.0003083,             0.95761,             0.92308,             0.91954,             0.75405,           0.0076735,           0.0011279,          0.00013527,             0.00307,             0.00307,             0.00307,             0.75405,             0.75405,             0.91954,             0.91954
                  37,            0.016214,           0.0060112,          0.00031393,             0.95984,             0.91937,             0.91901,             0.73801,            0.007816,           0.0012519,          0.00012192,            0.002872,            0.002872,            0.002872,             0.73801,             0.73801,             0.91901,             0.91901
                  38,            0.016681,           0.0061451,          0.00028436,             0.95842,             0.92308,             0.91128,             0.70721,           0.0090938,           0.0011922,          0.00010724,            0.002674,            0.002674,            0.002674,             0.70721,             0.70721,             0.91128,             0.91128
                  39,            0.016299,           0.0060821,          0.00027134,             0.95608,             0.92308,             0.90838,             0.72917,           0.0090038,           0.0011239,          0.00011002,            0.002476,            0.002476,            0.002476,             0.72917,             0.72917,             0.90838,             0.90838
                  40,             0.01535,           0.0057704,          0.00026455,             0.95522,             0.92308,             0.90192,             0.72304,            0.008522,           0.0011026,          0.00010931,            0.002278,            0.002278,            0.002278,             0.72304,             0.72304,             0.90192,             0.90192
                  41,            0.015966,           0.0057888,          0.00028033,             0.95734,             0.92308,             0.90691,             0.72474,           0.0086561,           0.0011176,          0.00011111,             0.00208,             0.00208,             0.00208,             0.72474,             0.72474,             0.90691,             0.90691
                  42,            0.015056,           0.0057391,          0.00025517,             0.95758,             0.92308,             0.90698,             0.73359,           0.0083017,           0.0011455,          0.00011146,            0.001882,            0.001882,            0.001882,             0.73359,             0.73359,             0.90698,             0.90698
                  43,            0.015718,           0.0055603,          0.00027263,             0.95659,             0.92308,             0.91312,             0.71863,           0.0081845,           0.0011499,          0.00010013,            0.001684,            0.001684,            0.001684,             0.71863,             0.71863,             0.91312,             0.91312
                  44,            0.014264,           0.0052265,          0.00021265,             0.95822,             0.92308,             0.91253,             0.74042,           0.0084155,           0.0011227,          9.2217e-05,            0.001486,            0.001486,            0.001486,             0.74042,             0.74042,             0.91253,             0.91253
                  45,            0.016156,            0.005594,          0.00025409,             0.95985,             0.91954,             0.92291,             0.73313,           0.0083819,           0.0011399,          8.5809e-05,            0.001288,            0.001288,            0.001288,             0.73313,             0.73313,             0.92291,             0.92291
                  46,            0.014232,           0.0060503,          0.00019058,             0.95934,             0.90794,             0.92332,             0.73023,           0.0082718,           0.0011637,          8.0385e-05,             0.00109,             0.00109,             0.00109,             0.73023,             0.73023,             0.92332,             0.92332
                  47,            0.013881,           0.0054879,          0.00018016,              0.9411,             0.92308,             0.92467,             0.72749,           0.0080912,           0.0011798,          7.5816e-05,            0.000892,            0.000892,            0.000892,             0.72749,             0.72749,             0.92467,             0.92467
                  48,            0.013592,           0.0053526,          0.00017405,             0.95663,             0.92308,             0.91773,             0.72414,           0.0082261,           0.0012005,           7.503e-05,            0.000694,            0.000694,            0.000694,             0.72414,             0.72414,             0.91773,             0.91773
                  49,            0.013632,           0.0052178,          0.00016689,             0.95626,             0.92308,              0.9196,                0.73,           0.0080524,           0.0012039,          7.3527e-05,            0.000496,            0.000496,            0.000496,                0.73,                0.73,              0.9196,              0.9196
