               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/soccer-ball_mAP,    metrics/goal_mAP,metrics/soccer-ball_mAP_50, metrics/goal_mAP_50
                   0,            0.050029,            0.023833,            0.015546,                   0,                   0,                   0,                   0,            0.015169,           0.0012808,           0.0021237,              0.0829,              0.0019,              0.0019,                   0,                   0,                   0,                   0
                   1,            0.042439,            0.025449,            0.011116,           0.0056738,             0.66667,            0.070987,            0.037457,            0.014615,           0.0011332,           0.0011406,            0.064823,           0.0038228,           0.0038228,            0.037457,            0.037457,            0.070987,            0.070987
                   2,            0.041578,            0.021733,           0.0087961,           0.0010715,             0.66667,             0.31682,            0.082075,            0.016451,           0.0010086,          0.00093898,            0.046666,           0.0056664,           0.0056664,            0.082075,            0.082075,             0.31682,             0.31682
                   3,            0.040258,            0.017266,           0.0063993,            0.075072,             0.33333,             0.36411,            0.054491,            0.018247,            0.001022,          0.00093735,            0.028431,           0.0074307,           0.0074307,            0.054491,            0.054491,             0.36411,             0.36411
                   4,            0.044098,            0.017228,           0.0051659,            0.055966,                 0.5,             0.24281,             0.13679,            0.013946,           0.0012475,          0.00024336,            0.010116,           0.0091159,           0.0091159,             0.13679,             0.13679,             0.24281,             0.24281
                   5,            0.042699,            0.015202,           0.0038858,             0.46786,             0.16667,             0.33721,             0.12642,            0.013466,           0.0015012,          0.00027882,             0.00901,             0.00901,             0.00901,             0.12642,             0.12642,             0.33721,             0.33721
                   6,            0.041531,            0.015375,           0.0026724,              0.5308,             0.38466,             0.33819,              0.2362,             0.01188,           0.0012934,          0.00018067,             0.00901,             0.00901,             0.00901,              0.2362,              0.2362,             0.33819,             0.33819
                   7,            0.038891,            0.013591,           0.0029662,             0.45076,             0.33333,             0.26245,             0.23123,            0.012835,           0.0014325,          0.00016497,            0.008812,            0.008812,            0.008812,             0.23123,             0.23123,             0.26245,             0.26245
                   8,            0.037505,            0.012856,           0.0023198,             0.38121,             0.41711,             0.31746,             0.18173,            0.016596,           0.0018029,          0.00016064,            0.008614,            0.008614,            0.008614,             0.18173,             0.18173,             0.31746,             0.31746
                   9,            0.036604,            0.011927,           0.0025503,             0.74781,                 0.5,             0.39329,             0.31257,            0.010448,           0.0016417,          0.00018036,            0.008416,            0.008416,            0.008416,             0.31257,             0.31257,             0.39329,             0.39329
                  10,            0.034054,            0.011977,           0.0013939,             0.31833,              0.6254,             0.36878,             0.24067,            0.013523,           0.0014727,            0.000183,            0.008218,            0.008218,            0.008218,             0.24067,             0.24067,             0.36878,             0.36878
                  11,            0.035087,            0.011539,           0.0019533,             0.72268,                 0.5,             0.43449,             0.30337,            0.010927,            0.001275,          0.00026704,             0.00802,             0.00802,             0.00802,             0.30337,             0.30337,             0.43449,             0.43449
                  12,            0.033483,            0.011757,           0.0015758,             0.77591,             0.66667,             0.62272,             0.38908,            0.011233,           0.0011641,          0.00026075,            0.007822,            0.007822,            0.007822,             0.38908,             0.38908,             0.62272,             0.62272
                  13,            0.033221,            0.011493,           0.0013622,             0.76966,             0.66667,             0.64292,             0.46519,            0.011197,          0.00097228,           0.0002498,            0.007624,            0.007624,            0.007624,             0.46519,             0.46519,             0.64292,             0.64292
                  14,            0.032959,            0.010355,           0.0016747,              0.7511,             0.66667,             0.60057,             0.42987,            0.011256,           0.0010681,          0.00020599,            0.007426,            0.007426,            0.007426,             0.42987,             0.42987,             0.60057,             0.60057
                  15,            0.031412,            0.010396,           0.0013379,             0.49595,             0.83333,             0.55668,             0.28488,             0.01122,           0.0009202,          0.00021513,            0.007228,            0.007228,            0.007228,             0.28488,             0.28488,             0.55668,             0.55668
                  16,            0.030946,            0.010337,           0.0011778,             0.77166,             0.66667,             0.63935,             0.34987,            0.010351,          0.00088849,          0.00025224,             0.00703,             0.00703,             0.00703,             0.34987,             0.34987,             0.63935,             0.63935
                  17,            0.028674,            0.010078,           0.0013071,             0.77249,             0.66667,             0.60405,             0.39755,           0.0098289,          0.00097563,          0.00019606,            0.006832,            0.006832,            0.006832,             0.39755,             0.39755,             0.60405,             0.60405
                  18,            0.029376,           0.0090805,          0.00096236,             0.79832,             0.66108,              0.6274,             0.29776,           0.0090839,          0.00093366,          0.00020994,            0.006634,            0.006634,            0.006634,             0.29776,             0.29776,              0.6274,              0.6274
                  19,            0.028231,           0.0091647,           0.0012235,             0.70761,             0.80998,             0.65371,             0.28373,            0.010175,             0.00109,          0.00016643,            0.006436,            0.006436,            0.006436,             0.28373,             0.28373,             0.65371,             0.65371
                  20,            0.030015,           0.0092753,            0.001017,             0.71952,             0.83333,             0.72359,             0.36242,           0.0099583,          0.00098339,           0.0001645,            0.006238,            0.006238,            0.006238,             0.36242,             0.36242,             0.72359,             0.72359
