               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,metrics/soccer-ball_mAP,    metrics/goal_mAP,metrics/soccer-ball_mAP_50, metrics/goal_mAP_50
                  21,            0.026707,            0.008013,            0.001034,             0.69995,                 0.5,             0.54982,             0.29757,            0.009243,           0.0010418,          0.00016824,             0.00604,             0.00604,             0.00604,             0.29757,             0.29757,             0.54982,             0.54982
                  22,            0.027071,           0.0087665,           0.0014702,             0.75873,             0.66667,             0.61764,             0.38691,           0.0078358,          0.00096554,           0.0001588,            0.005842,            0.005842,            0.005842,             0.38691,             0.38691,             0.61764,             0.61764
                  23,            0.026647,           0.0087194,           0.0010872,             0.82898,             0.81156,             0.72359,             0.50954,           0.0079242,          0.00090754,          0.00014559,            0.005644,            0.005644,            0.005644,             0.50954,             0.50954,             0.72359,             0.72359
                  24,            0.025524,            0.007902,           0.0012128,             0.68622,             0.83333,              0.6537,             0.40409,           0.0086291,          0.00087151,          0.00015253,            0.005446,            0.005446,            0.005446,             0.40409,             0.40409,              0.6537,              0.6537
                  25,            0.024942,           0.0083665,          0.00085865,             0.68235,             0.83333,             0.72071,             0.47946,           0.0093209,          0.00086412,          0.00013721,            0.005248,            0.005248,            0.005248,             0.47946,             0.47946,             0.72071,             0.72071
                  26,            0.022738,           0.0078204,           0.0008817,             0.78152,             0.66667,             0.72076,             0.51638,           0.0094372,          0.00090365,           0.0001278,             0.00505,             0.00505,             0.00505,             0.51638,             0.51638,             0.72076,             0.72076
                  27,            0.023531,           0.0078872,          0.00071126,             0.68853,             0.83333,             0.68681,             0.41183,           0.0094309,          0.00085728,          0.00010972,            0.004852,            0.004852,            0.004852,             0.41183,             0.41183,             0.68681,             0.68681
                  28,            0.022565,           0.0083499,          0.00063281,             0.76818,             0.83333,             0.69702,             0.45059,           0.0093092,           0.0008748,          0.00010967,            0.004654,            0.004654,            0.004654,             0.45059,             0.45059,             0.69702,             0.69702
                  29,            0.022408,            0.007939,          0.00067818,             0.78926,             0.83333,              0.6981,             0.42193,           0.0090455,          0.00079559,          0.00011146,            0.004456,            0.004456,            0.004456,             0.42193,             0.42193,              0.6981,              0.6981
                  30,            0.021621,           0.0077898,           0.0011029,             0.82574,             0.83333,             0.69845,             0.42806,           0.0091306,          0.00085018,          0.00011186,            0.004258,            0.004258,            0.004258,             0.42806,             0.42806,             0.69845,             0.69845
                  31,            0.022416,           0.0083811,          0.00098518,             0.82123,             0.83333,             0.69844,             0.41915,           0.0098235,          0.00074888,           0.0001118,             0.00406,             0.00406,             0.00406,             0.41915,             0.41915,             0.69844,             0.69844
                  32,            0.020787,           0.0073208,          0.00063018,             0.83134,             0.82336,             0.72575,             0.45456,           0.0086846,          0.00076391,          0.00011169,            0.003862,            0.003862,            0.003862,             0.45456,             0.45456,             0.72575,             0.72575
                  33,            0.020789,           0.0076721,          0.00065844,             0.54467,             0.83333,             0.62182,             0.31951,           0.0081262,          0.00089082,          9.9411e-05,            0.003664,            0.003664,            0.003664,             0.31951,             0.31951,             0.62182,             0.62182
                  34,            0.019847,           0.0076043,          0.00052327,             0.75384,             0.66667,             0.63984,             0.37749,           0.0079136,          0.00085386,           0.0001002,            0.003466,            0.003466,            0.003466,             0.37749,             0.37749,             0.63984,             0.63984
                  35,             0.02087,           0.0074118,          0.00061411,              0.8261,             0.83333,             0.69696,              0.4734,           0.0077665,          0.00087986,          9.9475e-05,            0.003268,            0.003268,            0.003268,              0.4734,              0.4734,             0.69696,             0.69696
                  36,            0.019156,           0.0068558,          0.00069644,             0.83054,             0.81935,             0.72372,             0.49254,           0.0076613,          0.00086944,           9.778e-05,             0.00307,             0.00307,             0.00307,             0.49254,             0.49254,             0.72372,             0.72372
                  37,             0.01783,           0.0066121,          0.00056526,             0.78115,             0.66667,             0.70563,             0.53325,            0.007705,          0.00085844,          9.4255e-05,            0.002872,            0.002872,            0.002872,             0.53325,             0.53325,             0.70563,             0.70563
                  38,            0.020099,           0.0074267,          0.00085363,             0.68651,             0.83333,             0.75291,             0.56293,           0.0076646,          0.00080231,          9.0587e-05,            0.002674,            0.002674,            0.002674,             0.56293,             0.56293,             0.75291,             0.75291
                  39,            0.017548,           0.0069474,          0.00044612,             0.79198,             0.66667,             0.78686,              0.5812,           0.0073426,          0.00082221,          8.5933e-05,            0.002476,            0.002476,            0.002476,              0.5812,              0.5812,             0.78686,             0.78686
                  40,            0.017888,           0.0070795,          0.00039828,             0.67114,             0.83333,              0.6869,             0.51506,           0.0072753,          0.00079274,          7.8123e-05,            0.002278,            0.002278,            0.002278,             0.51506,             0.51506,              0.6869,              0.6869
                  41,            0.018282,           0.0068803,           0.0004034,             0.83233,             0.82831,             0.72385,             0.56138,           0.0066218,          0.00075662,           7.326e-05,             0.00208,             0.00208,             0.00208,             0.56138,             0.56138,             0.72385,             0.72385
                  42,            0.017561,           0.0070052,           0.0003746,             0.83004,             0.83333,             0.72387,             0.49847,           0.0071116,          0.00074781,           7.064e-05,            0.001882,            0.001882,            0.001882,             0.49847,             0.49847,             0.72387,             0.72387
                  43,            0.016036,           0.0071579,           0.0003168,             0.82968,             0.83333,             0.69644,             0.46057,            0.007231,          0.00073315,          6.7816e-05,            0.001684,            0.001684,            0.001684,             0.46057,             0.46057,             0.69644,             0.69644
                  44,            0.015976,           0.0060785,          0.00029149,              0.8332,             0.83265,             0.69647,             0.49822,           0.0070482,          0.00072325,          6.4423e-05,            0.001486,            0.001486,            0.001486,             0.49822,             0.49822,             0.69647,             0.69647
                  45,            0.015178,           0.0068286,          0.00031313,             0.83311,             0.83219,             0.69646,             0.47971,           0.0071109,          0.00072146,           6.122e-05,            0.001288,            0.001288,            0.001288,             0.47971,             0.47971,             0.69646,             0.69646
                  46,            0.015504,           0.0064952,          0.00035575,             0.83215,             0.83333,             0.69643,             0.46515,           0.0073561,          0.00073898,          5.8609e-05,             0.00109,             0.00109,             0.00109,             0.46515,             0.46515,             0.69643,             0.69643
                  47,            0.015306,           0.0064131,          0.00031323,             0.83208,             0.83333,             0.69648,             0.46801,            0.007159,          0.00076194,          5.7088e-05,            0.000892,            0.000892,            0.000892,             0.46801,             0.46801,             0.69648,             0.69648
                  48,            0.015576,            0.006488,          0.00027835,             0.82983,             0.83333,             0.69647,             0.48851,           0.0070126,          0.00077102,          5.6463e-05,            0.000694,            0.000694,            0.000694,             0.48851,             0.48851,             0.69647,             0.69647
                  49,            0.014063,           0.0067767,           0.0002884,             0.82928,             0.83333,             0.69643,             0.47239,           0.0070937,          0.00077121,          5.5607e-05,            0.000496,            0.000496,            0.000496,             0.47239,             0.47239,             0.69643,             0.69643
